Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    10
  15,      2.013,       3697,         76,       1.09
  20,      3.691,      55001,        233,       3.83
  22,      4.509,       1436,         85,       2.57
  26,      6.399,       1405,        121,       2.09
  27,      6.925,       1064,        128,       2.65
  28,      7.472,        279,        213,       1.45
  29,      8.041,       1925,        223,       0.88
  30,      8.631,       3937,        236,       1.68
  45,      2.696,        268,         36,       0.84
  57,      4.651,        709,        123,       3.86
